测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2016/7/4,560,736.82,280,392.75
主供主表,2016/7/5,570,737.39,290,393.04
主供主表,2016/7/6,520,737.91,270,393.31
主供主表,2016/7/7,470,738.38,250,393.56
主供主表,2016/7/8,510,738.89,250,393.81
主供主表,2016/7/9,370,739.26,180,393.99
主供主表,2016/7/10,560,739.82,290,394.28
主供主表,2016/7/11,370,740.19,170,394.45
主供主表,2016/7/12,570,740.76,210,394.66
主供主表,2016/7/13,500,741.27,210,394.87
主供主表,2016/7/14,670,741.93,320,395.19
主供主表,2016/7/15,420,742.35,180,395.37
主供主表,2016/7/16,360,742.71,170,395.54
主供主表,2016/7/17,580,743.29,300,395.84
主供主表,2016/7/18,590,743.88,290,396.13
主供主表,2016/7/19,360,744.24,170,396.3
主供主表,2016/7/20,520,744.76,270,396.57
主供主表,2016/7/21,720,745.48,370,396.94
主供主表,2016/7/22,480,745.96,240,397.18
主供主表,2016/7/23,440,746.4,190,397.37
主供主表,2016/7/24,480,746.89,200,397.57
主供主表,2016/7/25,520,747.4,190,397.77
主供主表,2016/7/26,550,747.95,210,397.97
主供主表,2016/7/27,590,748.54,250,398.22
主供主表,2016/7/28,590,749.14,270,398.49
主供主表,2016/7/29,610,749.75,230,398.72
主供主表,2016/7/30,690,750.43,290,399.01
主供主表,2016/7/31,730,751.16,330,399.34
主供主表,2016/8/1,590,751.76,270,399.61
主供主表,2016/8/2,520,752.27,250,399.86
主供主表,2016/8/3,470,752.74,230,400.09
主供主表,2016/8/4,470,753.21,220,400.31
主供主表,2016/8/5,470,753.68,250,400.56
主供主表,2016/8/6,450,754.13,250,400.81
主供主表,2016/8/7,470,754.6,260,401.07
主供主表,2016/8/8,510,755.11,300,401.37
主供主表,2016/8/9,550,755.66,320,401.69
主供主表,2016/8/10,600,756.26,320,402.01
主供主表,2016/8/11,600,756.86,330,402.34
主供主表,2016/8/12,580,757.44,310,402.65
主供主表,2016/8/13,650,758.09,340,402.99
主供主表,2016/8/14,660,758.75,370,403.36
主供主表,2016/8/15,620,759.37,340,403.7
主供主表,2016/8/16,520,759.9,300,404
主供主表,2016/8/17,510,760.4,270,404.27
主供主表,2016/8/18,510,760.91,250,404.52
主供主表,2016/8/19,620,761.53,350,404.87
主供主表,2016/8/20,560,762.09,320,405.19
主供主表,2016/8/21,530,762.62,330,405.52
主供主表,2016/8/22,490,763.11,270,405.79
主供主表,2016/8/23,440,763.55,220,406.01
主供主表,2016/8/24,500,764.05,230,406.24
主供主表,2016/8/25,530,764.58,260,406.5
主供主表,2016/8/26,420,765.01,250,406.75
主供主表,2016/8/27,330,765.33,170,406.92
主供主表,2016/8/28,390,765.72,270,407.19
主供主表,2016/8/29,320,766.04,280,407.47
主供主表,2016/8/30,280,766.32,200,407.67
主供主表,2016/8/31,260,766.58,200,407.87
主供主表,2016/9/1,310,766.89,220,408.09
主供主表,2016/9/2,320,767.21,180,408.27
主供主表,2016/9/3,370,767.58,240,408.51
主供主表,2016/9/4,330,767.91,230,408.75
主供主表,2016/9/5,300,768.21,180,408.92
主供主表,2016/9/6,290,768.5,170,409.1
主供主表,2016/9/7,300,768.8,190,409.28
主供主表,2016/9/8,380,769.18,240,409.52
主供主表,2016/9/9,380,769.56,290,409.81
主供主表,2016/9/10,370,769.93,270,410.08
主供主表,2016/9/11,380,770.31,210,410.29
主供主表,2016/9/12,340,770.65,210,410.5
主供主表,2016/9/13,340,770.99,200,410.7
主供主表,2016/9/14,280,771.27,190,410.89
主供主表,2016/9/15,310,771.58,220,411.11
主供主表,2016/9/16,320,771.9,240,411.35
主供主表,2016/9/17,310,772.22,240,411.59
主供主表,2016/9/18,280,772.49,180,411.77
主供主表,2016/9/19,320,772.81,210,411.99
主供主表,2016/9/20,300,773.11,200,412.18
主供主表,2016/9/21,310,773.42,190,412.37
主供主表,2016/9/22,280,773.7,190,412.56
主供主表,2016/9/23,270,773.97,170,412.74
主供主表,2016/9/24,260,774.23,160,412.89
主供主表,2016/9/25,270,774.5,160,413.05
主供主表,2016/9/26,270,774.77,150,413.2
主供主表,2016/9/27,290,775.06,140,413.34
主供主表,2016/9/28,300,775.36,150,413.49
主供主表,2016/9/29,370,775.73,210,413.7
主供主表,2016/9/30,370,776.1,210,413.91
主供主表,2016/10/1,230,776.33,140,414.05
主供主表,2016/10/2,300,776.63,210,414.26
主供主表,2016/10/3,340,776.97,200,414.47
