month,date,hour,peak_flat_valley,power_num,id,lstm
7,15,20,2,11156,40911,11187.967061519623
7,15,21,2,11696,40912,11725.943889141083
7,15,22,1,12728,40913,12745.60474795103
7,15,23,1,13890,40914,13907.219070911407
7,16,0,0,13974,40915,14007.330846011639
7,16,1,0,15329,40916,15333.627397835256
7,16,2,0,15670,40917,15699.436480522158
7,16,3,0,15607,40918,15635.593396246435
7,16,4,0,15490,40919,15516.071972072126
7,16,5,0,15879,40920,15894.368877232077
7,16,6,0,15171,40921,15206.23882931471
7,16,7,0,14620,40922,14644.484634518623
7,16,8,1,14478,40923,14497.812459290028
7,16,9,1,14969,40924,14987.475672483446
7,16,10,1,15325,40925,15351.291710257532
7,16,11,1,14661,40926,14694.017533779146
7,16,12,1,16356,40927,16380.887158334257
7,16,13,1,17441,40928,17481.502227902412
7,16,14,2,17610,40929,17649.870320677757
7,16,15,2,18170,40930,18212.287988483906
7,16,16,2,17941,40931,17990.373772501945
7,16,17,1,17949,40932,17998.520135700703
7,16,18,1,19252,40933,19296.653221070766
7,16,19,2,19203,40934,19240.97488117218
7,16,20,2,19034,40935,19071.910054206848
7,16,21,2,18663,40936,18706.13510799408
7,16,22,1,18569,40937,18614.276481986046
7,16,23,1,18297,40938,18339.73170053959
7,17,0,0,17912,40939,17952.42101562023
7,17,1,0,18172,40940,18213.618435680866
7,17,2,0,18683,40941,18721.092135429382
7,17,3,0,18626,40942,18659.413653731346
7,17,4,0,19101,40943,19137.30503511429
7,17,5,0,18269,40944,18306.274454712868
7,17,6,0,18067,40945,18113.109277009964
7,17,7,0,18322,40946,18370.51667314768
7,17,8,1,17373,40947,17412.28221130371
7,17,9,1,17605,40948,17650.606443107128
7,17,10,1,15824,40949,15856.035367369654
7,17,11,1,16535,40950,16584.574247717857
7,17,12,1,17148,40951,17195.14535111189
7,17,13,1,16610,40952,16640.29547703266
7,17,14,2,17266,40953,17304.35931068659
7,17,15,2,17225,40954,17264.108906507492
7,17,16,2,17739,40955,17780.120225965977
7,17,17,1,18759,40956,18800.111945986748
7,17,18,1,19154,40957,19188.76795810461
7,17,19,2,18876,40958,18912.273021161556
7,17,20,2,19351,40959,19394.686172425747
7,17,21,2,19228,40960,19270.142310082912
7,17,22,1,18754,40961,18796.43921148777
7,17,23,1,18069,40962,18113.52766764164
7,18,0,0,17943,40963,17990.081424236298
7,18,1,0,18046,40964,18089.18836158514
7,18,2,0,18561,40965,18598.883558034897
7,18,3,0,18031,40966,18062.01572817564
7,18,4,0,18346,40967,18384.614161670208
7,18,5,0,18842,40968,18881.631596803665
7,18,6,0,19029,40969,19064.790411114693
7,18,7,0,18298,40970,18334.637488245964
7,18,8,1,17903,40971,17948.51895403862
7,18,9,1,16467,40972,16508.82191044092
7,18,10,1,16044,40973,16091.87638950348
7,18,11,1,15869,40974,15915.484474718573
7,18,12,1,15303,40975,15338.89491838217
7,18,13,1,17460,40976,17508.072658896446
7,18,14,2,18525,40977,18559.048043310642
7,18,15,2,17942,40978,17964.412546277046
7,18,16,2,18171,40979,18210.52689653635
7,18,17,1,18241,40980,18288.994396448135
7,18,18,1,19045,40981,19091.81074333191
7,18,19,2,17217,40982,17252.225037038326
7,18,20,2,17846,40983,17897.687118172646
7,18,21,2,17567,40984,17612.005968511105
7,18,22,1,16325,40985,16357.507174730303
7,18,23,1,16229,40986,16270.403146862986
7,19,0,0,15559,40987,15596.694446325304
7,19,1,0,15843,40988,15883.090711355211
7,19,2,0,16603,40989,16644.50214099884
7,19,3,0,15681,40990,15708.269949674608
7,19,4,0,15133,40991,15163.201488375666
7,19,5,0,15305,40992,15348.618561744692
7,19,6,0,15239,40993,15281.557020664217
7,19,7,0,15243,40994,15281.481745362284
7,19,8,1,15585,40995,15625.264924585821
7,19,9,1,14453,40996,14484.072966098785
7,19,10,1,13171,40997,13198.115223169327
7,19,11,1,12293,40998,12328.36075168848
7,19,12,1,13090,40999,13136.887517988682
7,19,13,1,12840,41000,12879.160639464855
7,19,14,2,13380,41001,13409.53028512001
7,19,15,2,14299,41002,14335.370108306408
7,19,16,2,14371,41003,14405.475922644138
7,19,17,1,14605,41004,14639.18210220337
7,19,18,1,15933,41005,15976.950259923937
7,19,19,2,16187,41006,16231.350145161154
7,19,20,2,16836,41007,16876.182014465332
7,19,21,2,16657,41008,16699.410221993923
7,19,22,1,16694,41009,16736.474555253983
7,19,23,1,16776,41010,16819.45507210493
7,20,0,0,16250,41011,16288.837718188764
