数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/8/13,武汉金运激光股份有限公司,500,001086,60,5.2,1926.09,0,535.19,963.57,427.21
2013/8/14,武汉金运激光股份有限公司,500,001086,60,5.2,2100.47,0,515.39,1007.99,577.21
2013/8/15,武汉金运激光股份有限公司,500,001086,60,5.2,2089.92,0,591,1066.84,431.98
2013/8/16,武汉金运激光股份有限公司,500,001086,60,5.2,2383.71,0,609.61,1084.19,690
2013/8/17,武汉金运激光股份有限公司,500,001086,60,5.2,2354.41,0,584.38,1069.19,700.81
2013/8/18,武汉金运激光股份有限公司,500,001086,60,5.2,665.39,0,54.61,113.99,496.78
2013/8/19,武汉金运激光股份有限公司,500,001086,60,5.2,1640.39,0,566.39,1026.59,47.4
2013/8/20,武汉金运激光股份有限公司,500,001086,60,5.2,2330.98,0,610.19,1082.37,638.41
2013/8/21,武汉金运激光股份有限公司,500,001086,60,5.2,2497.15,0,676.2,1046.42,774.61
2013/8/22,武汉金运激光股份有限公司,500,001086,60,5.2,2448.04,0,626.39,1037.4,784.19
2013/8/23,武汉金运激光股份有限公司,500,001086,60,5.2,2534.41,0,641.42,1031.39,861.59
2013/8/24,武汉金运激光股份有限公司,500,001086,60,5.2,2622.07,0,585.58,1099.8,936.62
2013/8/25,武汉金运激光股份有限公司,500,001086,60,5.2,604.8,0,23.99,44.97,535.78
2013/8/26,武汉金运激光股份有限公司,500,001086,60,5.2,1538.32,0,623.99,874.25,40.22
2013/8/27,武汉金运激光股份有限公司,500,001086,60,5.2,1938.04,0,226.81,848.38,862.79
2013/8/28,武汉金运激光股份有限公司,500,001086,60,5.2,1853.44,0,763.18,1049.38,40.78
2013/8/29,武汉金运激光股份有限公司,500,001086,60,5.2,,,,,
2013/8/30,武汉金运激光股份有限公司,500,001086,60,5.2,1314.61,0,490.81,781.2,42.59
2013/8/31,武汉金运激光股份有限公司,500,001086,60,5.2,2214.61,0,518.38,899.44,796.78
2013/9/1,武汉金运激光股份有限公司,500,001086,60,5.2,556.75,0,14.41,32.96,509.41
2013/9/2,武汉金运激光股份有限公司,500,001086,60,5.2,1149.02,0,466.78,651.59,30.58
2013/9/3,武汉金运激光股份有限公司,500,001086,60,5.2,1991.95,0,506.39,874.19,611.39
2013/9/4,武汉金运激光股份有限公司,500,001086,60,5.2,2097.53,0,529.8,856.78,711
2013/9/5,武汉金运激光股份有限公司,500,001086,60,5.2,885.7,0,357.01,480.64,48.01
2013/9/6,武汉金运激光股份有限公司,500,001086,60,5.2,1887.65,0,481.78,781.2,624.58
2013/9/7,武汉金运激光股份有限公司,500,001086,60,5.2,1881.56,0,452.4,772.79,656.39
2013/9/8,武汉金运激光股份有限公司,500,001086,60,5.2,500.39,0,16.81,44.38,439.22
2013/9/9,武汉金运激光股份有限公司,500,001086,60,5.2,774.02,0,341.39,406.81,25.78
2013/9/10,武汉金运激光股份有限公司,500,001086,60,5.2,1840.19,0,490.78,816,533.41
2013/9/11,武汉金运激光股份有限公司,500,001086,60,5.2,1831.75,0,461.42,713.38,657.01
2013/9/12,武汉金运激光股份有限公司,500,001086,60,5.2,1869.02,0,493.79,718.21,656.98
2013/9/13,武汉金运激光股份有限公司,500,001086,60,5.2,2150.98,0,572.4,868.18,710.42
2013/9/14,武汉金运激光股份有限公司,500,001086,60,5.2,2405.98,0,580.19,1031.98,793.79
2013/9/15,武汉金运激光股份有限公司,500,001086,60,5.2,661.75,0,26.39,49.25,586.2
2013/9/16,武汉金运激光股份有限公司,500,001086,60,5.2,1591.87,0,613.79,942.59,35.39
2013/9/17,武汉金运激光股份有限公司,500,001086,60,5.2,2562.53,0,662.99,1040.39,859.19
2013/9/18,武汉金运激光股份有限公司,500,001086,60,5.2,1578.63,0,233.99,543.6,801
2013/9/19,武汉金运激光股份有限公司,500,001086,60,5.2,110.39,0,31.81,61.2,17.4
2013/9/20,武汉金运激光股份有限公司,500,001086,60,5.2,100.19,0,23.41,43.76,32.99
2013/9/21,武汉金运激光股份有限公司,500,001086,60,5.2,1615.9,0,620.39,954.05,41.39
2013/9/22,武汉金运激光股份有限公司,500,001086,60,5.2,2688.51,0,717.01,1048.18,923.41
2013/9/23,武汉金运激光股份有限公司,500,001086,60,5.2,2668.82,0,582.59,1113.57,972.59
2013/9/24,武汉金运激光股份有限公司,500,001086,60,5.2,2116.17,0,435.58,927.04,753.6
2013/9/25,武汉金运激光股份有限公司,500,001086,60,5.2,2028.63,0,517.79,884.97,625.81
2013/9/26,武汉金运激光股份有限公司,500,001086,60,5.2,2206.17,0,557.4,896.39,752.4
2013/9/27,武汉金运激光股份有限公司,500,001086,60,5.2,2175,0,517.21,877.21,780.58
2013/9/28,武汉金运激光股份有限公司,500,001086,60,5.2,2067.65,0,537.01,836.98,693.6
