month,date,hour,peak_flat_valley,real,pred
8.0,14.0,10.0,2.0,12625.193,15805.099
8.0,14.0,11.0,2.0,14183.026,15651.379
8.0,14.0,12.0,2.0,15143.667,15816.343
8.0,14.0,13.0,2.0,15651.744,15981.284
8.0,14.0,14.0,2.0,14248.001,15569.142
8.0,14.0,15.0,3.0,15264.657,15668.225
8.0,14.0,16.0,3.0,14827.437,15616.226
8.0,14.0,17.0,3.0,15829.494,15992.078
8.0,14.0,18.0,2.0,16463.469,16513.787
8.0,14.0,19.0,2.0,16536.465,16666.258
8.0,14.0,20.0,3.0,16986.674,16664.928
8.0,14.0,21.0,3.0,17466.822,16918.793
8.0,14.0,22.0,3.0,17147.111,16902.322
8.0,14.0,23.0,2.0,17773.639,17437.383
8.0,14.0,24.0,2.0,18492.83,17906.334
8.0,15.0,1.0,1.0,18804.592,18235.4
8.0,15.0,2.0,1.0,19444.258,18468.736
8.0,15.0,3.0,1.0,19090.049,18439.006
8.0,15.0,4.0,1.0,17433.73,17850.785
8.0,15.0,5.0,1.0,17971.77,17781.734
