数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/6/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1031.95,0,0,0,0
2013/6/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,856.09,0,0,0,0
2013/6/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,889.61,0,0,0,0
2013/6/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,911.95,0,0,0,0
2013/6/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,320,0,0,0,0
2013/6/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,235.15,0,0,0,0
2013/7/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1601.64,0,0,0,0
2013/7/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1658.43,0,0,0,0
2013/7/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1432.81,0,0,0,0
2013/7/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1382.34,0,0,0,0
2013/7/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1390.38,0,0,0,0
2013/7/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,421.64,0,0,0,0
2013/7/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,419.14,0,0,0,0
2013/7/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1532.02,0,0,0,0
2013/7/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1495.94,0,0,0,0
2013/7/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1421.64,0,0,0,0
2013/7/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1432.02,0,0,0,0
2013/7/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1397.66,0,0,0,0
2013/7/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,880,0,0,0,0
2013/7/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,720,0,0,0,0
2013/7/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1350.38,0,0,0,0
2013/7/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1367.89,0,0,0,0
2013/7/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1347.18,0,0,0,0
2013/7/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1339.3,0,0,0,0
2013/7/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1368.74,0,0,0,0
2013/7/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1387.97,0,0,0,0
2013/7/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1262.5,0,0,0,0
2013/7/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1521.48,0,0,0,0
2013/7/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1456.01,0,0,0,0
2013/7/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1441.71,0,0,0,0
2013/7/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1475.15,0,0,0,0
2013/7/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1341.56,0,0,0,0
2013/7/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,902.42,0,0,0,0
2013/7/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,828.04,0,0,0,0
2013/7/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,269.53,0,0,0,0
